parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
4S456Parcels,4,3,0.014915142208337784,0.006238102912902832,0.6426845637583892,0.5417066155321189,0.5023794996949359,0.022598087787628174
4S456Parcels,4,4,0.013036326505243778,0.258109986782074,0.7444295302013423,0.8087248322147651,0.5587553386211104,0.06224578619003296
4S456Parcels,4,5,0.012387767434120178,0.07847899198532104,0.5978523489932885,0.6255992329817833,0.5307504575960952,0.05196493864059448
4S456Parcels,4,6,0.011551746167242527,0.06700235605239868,0.7046979865771812,0.5556088207094918,0.5815131177547285,0.15102750062942505
4S456Parcels,4,7,0.010788236744701862,0.09215199947357178,0.6990604026845637,0.535953978906999,0.6131177547284931,0.08875972032546997
4S456Parcels,4,8,0.009243178181350231,0.061972618103027344,0.6877852348993289,0.5431447746883988,0.549725442342892,0.08512413501739502
4S456Parcels,4,9,0.008812418207526207,0.11574965715408325,0.806979865771812,0.5225311601150527,0.6143990237949969,0.039045631885528564
4S456Parcels,4,10,0.008482679724693298,0.03262531757354736,0.6998657718120805,0.686960690316395,0.5900549115314216,-0.03924846649169922
4S456Parcels,5,1,0.036697279661893845,0.5859782099723816,0.813109756097561,0.6539634146341464,0.36114598278335724,0.9442876577377319
4S456Parcels,5,2,0.019580798223614693,0.07095801830291748,0.7701219512195122,0.6189024390243902,0.5593615494978479,0.42695075273513794
4S456Parcels,5,3,0.014543678611516953,0.06033158302307129,0.663109756097561,0.43140243902439024,0.5831689383070302,-0.05171668529510498
4S456Parcels,5,4,0.013771510683000088,0.16573846340179443,0.65,0.5457317073170731,0.6016857962697275,0.08429133892059326
4S456Parcels,5,5,0.012152761220932007,0.13661956787109375,0.6170731707317073,0.6288109756097562,0.561827474892396,-0.03626751899719238
4S456Parcels,5,6,0.011773230507969856,0.05181539058685303,0.6850609756097561,0.6547256097560976,0.5207586083213773,0.14973610639572144
4S456Parcels,5,7,0.010679585859179497,0.20677262544631958,0.5923780487804877,0.6875,0.5687096484935437,0.014082551002502441
4S456Parcels,5,8,0.008882472291588783,0.06388735771179199,0.7051829268292682,0.5480182926829269,0.6200681492109039,-0.11870694160461426
4S456Parcels,5,9,0.00874995905905962,0.24494487047195435,0.7158536585365853,0.6958841463414633,0.6159881635581061,0.06929987668991089
4S456Parcels,5,10,0.008507641963660717,0.030095219612121582,0.7189024390243902,0.5289634146341463,0.5248385939741751,0.13613349199295044
4S456Parcels,6,1,0.03863714262843132,0.6283042430877686,0.8636363636363636,0.6221153846153846,0.469,0.933888852596283
4S456Parcels,6,2,0.018563339486718178,0.08242207765579224,0.7340909090909091,0.6129807692307693,0.53735,0.5169447660446167
4S456Parcels,6,3,0.014780855737626553,0.005345761775970459,0.6869318181818181,0.48846153846153845,0.5085500000000001,-0.07246506214141846
4S456Parcels,6,4,0.013718036003410816,0.2772793769836426,0.7065340909090909,0.6120192307692308,0.5833000000000002,-0.037866830825805664
4S456Parcels,6,5,0.01220508012920618,0.15465205907821655,0.534375,0.614423076923077,0.5594,0.016258299350738525
4S456Parcels,6,6,0.011361132375895977,0.10251164436340332,0.7411931818181818,0.6735576923076922,0.6347,0.2547913193702698
4S456Parcels,6,7,0.0104212099686265,0.019374072551727295,0.7463068181818182,0.6423076923076924,0.5967,-0.01439368724822998
4S456Parcels,6,8,0.009650615975260735,0.0494956374168396,0.6551136363636363,0.5211538461538462,0.48695,0.18689310550689697
4S456Parcels,6,9,0.009004160761833191,0.06951898336410522,0.71875,0.5423076923076923,0.5819,-0.0507124662399292
4S456Parcels,6,10,0.008693655021488667,0.10478007793426514,0.6196022727272726,0.4831730769230769,0.50605,0.036413490772247314
4S456Parcels,7,1,0.03764449805021286,0.5483418107032776,0.8092436974789916,0.6823529411764706,0.4533333333333333,0.9274288415908813
4S456Parcels,7,2,0.018279511481523514,0.09140151739120483,0.7310924369747899,0.5214285714285715,0.5951633986928104,0.462096631526947
4S456Parcels,7,3,0.014754961244761944,0.05007237195968628,0.6747899159663866,0.6008403361344538,0.5765141612200436,-0.011230945587158203
4S456Parcels,7,4,0.013734092935919762,0.30381762981414795,0.78515406162465,0.6176470588235294,0.637124183006536,-0.025858163833618164
4S456Parcels,7,5,0.01210093405097723,0.10752475261688232,0.6089635854341736,0.46848739495798314,0.4925925925925926,0.16478204727172852
4S456Parcels,7,6,0.01110017579048872,0.08663928508758545,0.7014005602240896,0.6957983193277311,0.5566884531590414,0.2601015567779541
4S456Parcels,7,7,0.010797880589962006,0.16598254442214966,0.6929971988795518,0.5789915966386554,0.5393464052287581,-0.03722810745239258
4S456Parcels,7,8,0.009337586350739002,0.10975277423858643,0.6084033613445379,0.565546218487395,0.5267538126361655,0.0089796781539917
4S456Parcels,7,9,0.00897201243788004,0.07886970043182373,0.6417366946778711,0.5798319327731093,0.5686710239651416,-0.0006967782974243164
4S456Parcels,7,10,0.008361895568668842,0.038894057273864746,0.6526610644257703,0.5096638655462186,0.5991721132897603,0.07798290252685547
4S456Parcels,8,1,0.03951605409383774,0.5674237608909607,0.7701646090534979,0.6404320987654322,0.4491769547325103,0.9062654376029968
4S456Parcels,8,2,0.018538247793912888,0.0797320008277893,0.6598765432098765,0.46656378600823045,0.5515946502057614,0.503830075263977
4S456Parcels,8,3,0.014368182048201561,0.035176753997802734,0.7016460905349794,0.389917695473251,0.5861111111111111,-0.0259702205657959
4S456Parcels,8,4,0.013233615085482597,0.19840633869171143,0.7438271604938271,0.6183127572016461,0.5571502057613168,0.09127223491668701
4S456Parcels,8,5,0.012597483582794666,0.11918652057647705,0.678395061728395,0.4907407407407407,0.5475308641975309,0.023931264877319336
4S456Parcels,8,6,0.01188511773943901,0.09830200672149658,0.68559670781893,0.5961934156378601,0.5741255144032922,0.29571086168289185
4S456Parcels,8,7,0.010506361722946167,0.11377781629562378,0.6563786008230452,0.5442386831275721,0.5843106995884774,0.045360267162323
4S456Parcels,8,8,0.009899120777845383,0.08298557996749878,0.6611111111111111,0.49382716049382724,0.5022119341563787,-0.04983854293823242
4S456Parcels,8,9,0.008777565322816372,0.05804234743118286,0.6635802469135803,0.5987654320987654,0.5604423868312757,-0.016341686248779297
4S456Parcels,8,10,0.00852509867399931,0.20542442798614502,0.6911522633744857,0.5802469135802469,0.6095679012345678,0.020756125450134277
4S456Parcels,9,1,0.0377875380218029,0.5616743564605713,0.8276053215077606,0.6313320825515947,0.439071658158442,0.9337803721427917
4S456Parcels,9,2,0.018998853862285614,0.08045792579650879,0.7117516629711752,0.6801125703564729,0.5753923236906788,0.5059143304824829
4S456Parcels,9,3,0.014640319161117077,0.022150754928588867,0.6119733924611974,0.526735459662289,0.47527888069578367,0.02931952476501465
4S456Parcels,9,4,0.0136667899787426,0.22833245992660522,0.731430155210643,0.5492495309568481,0.6106069200226886,0.026357710361480713
4S456Parcels,9,5,0.012268580496311188,0.1671673059463501,0.7106430155210643,0.4840525328330207,0.49517867271695976,0.16364747285842896
4S456Parcels,9,6,0.011364951729774475,0.09953588247299194,0.7136917960088691,0.6744840525328331,0.48747400264700325,0.25278759002685547
4S456Parcels,9,7,0.010320794768631458,0.11370950937271118,0.6197339246119734,0.526266416510319,0.5519947059935717,0.06908315420150757
4S456Parcels,9,8,0.009703759104013443,0.02048546075820923,0.7591463414634146,0.75375234521576,0.6167990168273776,0.06989854574203491
4S456Parcels,9,9,0.009056739509105682,0.05092436075210571,0.604490022172949,0.3714821763602251,0.5308659481943656,0.11149752140045166
4S456Parcels,9,10,0.008434712886810303,0.23611491918563843,0.745011086474501,0.6097560975609756,0.521601436944602,-0.08406555652618408
