subject,rel_between_session,rel_within_session_run1
540436,0.20010887,0.4539558
541640,0.56034166,0.3981909
541943,0.4582836,0.26332006
545345,0.54976434,0.30217636
547046,0.45070362,0.045080923
548250,0.36844927,0.40418136
552241,0.48790053,0.21841705
552544,0.5537184,0.42329937
553344,0.6515039,0.43895665
555348,0.09910794,0.41535342
555651,0.59328204,0.3586668
555954,0.4827592,0.41333902
557857,0.4867665,0.39415443
558657,0.46636668,0.22900304
558960,0.48291737,0.34057456
559053,0.43385047,0.3124805
559457,0.4539418,0.30900642
561242,0.5102298,0.21376885
561444,0.3128258,0.2562777
561949,0.48934433,0.26950216
562345,0.44199896,0.072404236
562446,0.35324723,0.48734564
565452,0.6419697,0.4511675
566454,0.20472531,0.33533445
567052,0.5973545,0.3450842
567759,0.41942585,0.52838236
567961,0.40496632,0.38352218
568963,0.5100137,0.40493664
570243,0.61919665,0.4338159
571144,0.42283347,0.3095535
572045,0.5351518,0.38125446
573249,0.41516328,0.4007138
573451,0.5520985,0.34866467
576255,0.46755573,0.35495308
578057,0.5945543,0.34242558
579665,0.40302014,0.2939589
579867,0.65004957,0.40043616
580044,0.62143207,0.39314649
580347,0.42921916,0.12381376
580650,0.19981831,0.30153537
580751,0.573672,0.3040663
581349,0.61383367,0.44133672
581450,0.40533033,0.29065567
583858,0.43504167,0.25358412
585256,0.765052,0.62256473
585862,0.43002236,0.22254197
586460,0.6340112,0.52674365
587664,0.39762846,0.26301384
588565,0.47576022,0.28305215
589567,0.7679044,0.6186909
590047,0.5351599,0.41369435
592455,0.55047834,0.31011716
594156,0.54943454,0.41787943
597869,0.685031,0.55551106
598568,0.6316393,0.48196122
599065,0.62776643,0.41199058
599469,0.33299977,0.3867564
599671,0.5355897,0.39329356
601127,0.5350325,0.29867572
604537,0.3633047,0.41317448
609143,0.501899,0.24381885
611938,0.2920711,0.2779575
613538,0.5420471,0.38074514
614439,0.3396437,0.06625437
615441,0.423045,0.21890977
615744,0.48757848,0.3855029
616645,0.671836,0.4879818
617748,0.5722584,0.46717912
618952,0.5431251,0.31467995
620434,0.5658734,0.3511896
622236,0.5883811,0.46033302
623844,0.40106297,0.39427584
626648,0.5528797,0.44382885
627549,0.3815208,0.3055459
627852,0.5846707,0.40960577
628248,0.4350183,0.25360006
633847,0.535789,0.3109387
634748,0.5610238,0.15627682
635245,0.52159834,0.12816134
638049,0.26723605,0.40656525
644246,0.52634025,0.24895793
645450,0.5952311,0.31696224
645551,0.49568915,0.3361099
647858,0.5247868,0.40582454
654350,0.6118454,0.40377396
654552,0.7014386,0.3907937
654754,0.3869069,0.31822798
656253,0.6410333,0.47120592
656657,0.3596327,0.3108291
657659,0.5579615,0.45096022
660951,0.5063227,0.35285395
662551,0.44107324,0.09973823
663755,0.55589044,0.3859058
664757,0.23987661,0.41266108
665254,0.6147569,0.5177986
667056,0.45736614,0.30037513
668361,0.5405082,0.3286105
671855,0.5003031,0.24866463
672756,0.5983607,0.38449663
673455,0.6150455,0.3941939
675661,0.6434396,0.41830477
677766,0.47540987,0.34389526
677968,0.50719446,0.24875022
679568,0.3660949,0.35369548
679770,0.45775756,0.32368636
680250,0.45190352,0.33424485
680452,0.42405537,0.15532818
680957,0.2324048,0.24917418
683256,0.5649719,0.4705222
685058,0.47986877,0.2365549
686969,0.45167834,0.38422915
687163,0.32283217,0.3538319
690152,0.5404333,0.32898104
692964,0.5286661,0.34916306
693764,0.56967074,0.4169803
694362,0.13569275,0.40501267
695768,0.18075308,0.4035358
698168,0.6848741,0.4348208
700634,0.57412547,0.37997058
702133,0.40471068,0.18681376
704238,0.5273886,0.37790683
705341,0.5927783,0.34916976
706040,0.43830243,0.36700436
707749,0.48793614,0.34742722
709551,0.37801144,0.30952328
713239,0.49034184,0.49406558
715041,0.4755278,0.20667744
715647,0.427535,0.25527903
715950,0.6479074,0.34209332
720337,0.46115336,0.42718902
723141,0.44577894,0.39219868
724446,0.42418692,0.498267
725751,0.4183002,0.34142873
727553,0.63828415,0.50840086
727654,0.4791126,0.28861266
728454,0.499584,0.41172048
729254,0.24079926,0.44802624
729557,0.20095399,0.43244871
731140,0.6404051,0.43455988
732243,0.6713813,0.57568353
734045,0.37121844,0.13354006
735148,0.47885853,0.2797882
737960,0.33272368,0.46237677
742549,0.491671,0.13110007
744553,0.5740647,0.400891
748258,0.53388476,0.3975521
